State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
MA,19,"17,501","12,652","4,074",53,"16,779",722,"6,289","3,119","2,405",53,"5,577",712,"11,212","9,533","1,669","11,202",10,"3,887","3,267",616,"3,883",4,"2,055","1,702",21,"1,723",332,"1,500","1,147",21,"1,168",332,555,555,555,0,"1,181","1,126",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"9,454","3,399","2,451",92,"5,942","3,512","5,727","2,117","1,236",92,"3,445","2,282","3,727","1,282","1,215","2,497","1,230","1,300",424,388,812,488,"1,407",518,41,559,848,"1,259",448,41,489,770,148,70,70,78,617,513,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2,"2,393",975,"1,373",12,"2,360",33,"1,287",688,554,12,"1,254",33,"1,106",287,819,"1,106",0,376,99,277,376,0,233,220,11,231,2,222,209,11,220,2,11,11,11,0,116,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21,"12,592","5,221","5,015",34,"10,270","2,322","7,397","3,405","2,048",34,"5,487","1,910","5,195","1,816","2,967","4,783",412,"1,703",628,937,"1,565",138,"1,370",830,13,843,527,"1,174",677,13,690,484,196,153,153,43,"1,017",835,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,10,"7,744","3,684","3,060",10,"6,754",990,"3,540","1,878",905,10,"2,793",747,"4,204","1,806","2,155","3,961",243,"1,311",536,704,"1,240",71,"1,718","1,336",10,"1,346",372,"1,004",690,10,700,304,714,646,646,68,309,243,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"10,237","4,683","3,157",53,"7,893","2,344","4,855","1,896","1,582",53,"3,531","1,324","5,382","2,787","1,575","4,362","1,020","1,745",956,505,"1,461",284,"1,632",980,48,"1,028",604,906,561,48,609,297,726,419,419,307,899,714,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,413",486,556,0,"1,042","1,371","1,794",374,252,0,626,"1,168",619,112,304,416,203,221,38,120,158,63,501,67,0,67,434,450,55,0,55,395,51,12,12,39,244,71,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,833",716,437,0,"1,153",680,"1,166",443,210,0,653,513,667,273,227,500,167,192,89,80,169,23,388,213,0,213,175,304,161,0,161,143,84,52,52,32,323,147,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"13,524","4,641","4,155",13,"8,809","4,715","8,480","3,486","1,962",13,"5,461","3,019","5,044","1,155","2,193","3,348","1,696","1,633",388,696,"1,084",549,"1,621",702,0,702,919,"1,465",641,0,641,824,156,61,61,95,"1,413","1,091",322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,688,474,161,0,635,53,485,344,101,0,445,40,203,130,60,190,13,70,42,22,64,6,86,78,0,78,8,81,75,0,75,6,5,3,3,2,160,144,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3,"3,789","1,581","1,376",0,"2,957",832,"2,215","1,183",678,0,"1,861",354,"1,574",398,698,"1,096",478,514,133,230,363,151,501,333,0,333,168,396,288,0,288,108,105,45,45,60,249,213,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,496",769,555,5,"1,329",167,832,478,200,5,683,149,664,291,355,646,18,240,98,135,233,7,274,175,5,180,94,237,146,5,151,86,37,29,29,8,127,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,19,"13,025","8,130","3,280",19,"11,429","1,596","6,603","4,240","1,128",19,"5,387","1,216","6,422","3,890","2,152","6,042",380,"2,247","1,388",735,"2,123",124,"1,026",717,0,717,309,881,609,0,609,272,145,108,108,37,592,465,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"3,245","1,380","1,017",0,"2,397",848,"2,136","1,059",412,0,"1,471",665,"1,109",321,605,926,183,348,95,194,289,59,"1,072",613,0,613,459,973,566,0,566,407,99,47,47,52,345,202,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"8,497","2,503","1,442",25,"3,970","4,527","7,493","1,946","1,028",25,"2,999","4,494","1,004",557,414,971,33,341,176,152,328,13,"1,725",583,16,599,"1,126","1,603",464,16,480,"1,123",122,119,119,3,"1,229",691,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,31,"69,566","53,018","12,302",162,"65,482","4,084","30,133","18,481","7,454",162,"26,097","4,036","39,433","34,537","4,848","39,385",48,"12,170","10,472","1,682","12,154",16,"4,897","2,301",160,"2,461","2,436","4,324","1,742",160,"1,902","2,422",573,559,559,14,"4,961","4,370",591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"13,977","6,277","5,874",95,"12,246","1,731","7,855","4,038","2,299",95,"6,432","1,423","6,122","2,239","3,575","5,814",308,"1,943",705,"1,139","1,844",99,"1,982","1,294",73,"1,367",615,"1,788","1,123",73,"1,196",592,194,171,171,23,"1,244","1,034",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"5,032","2,098",887,58,"3,043","1,989","3,454","1,491",524,58,"2,073","1,381","1,578",607,363,970,608,519,216,119,335,184,569,264,23,287,282,481,214,23,237,244,88,50,50,38,404,299,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,7,"15,828","2,600","3,926",19,"6,545","9,283","9,788","1,794","1,679",19,"3,492","6,296","6,040",806,"2,247","3,053","2,987","2,110",273,873,"1,146",964,"3,302",739,15,754,"2,548","2,782",639,15,654,"2,128",520,100,100,420,"1,356",558,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,18,"14,736","6,946","6,512",202,"13,660","1,076","7,295","3,950","2,164",202,"6,316",979,"7,441","2,996","4,348","7,344",97,"2,476",997,"1,444","2,441",35,"2,106",938,183,"1,121",985,"1,564",788,183,971,593,542,150,150,392,"1,456","1,321",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"3,212",357,926,63,"1,346","1,866","2,494",286,595,63,944,"1,550",718,71,331,402,316,297,29,118,147,150,"3,251",215,36,251,"3,000","1,597",163,36,199,"1,398","1,654",52,52,"1,602",116,29,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,277",805,426,18,"1,249",28,788,578,164,18,760,28,489,227,262,489,0,182,91,91,182,0,154,140,14,154,0,148,134,14,148,0,6,6,6,0,96,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,4,"4,915","1,460","1,304",12,"2,776","2,139","3,327","1,114",663,12,"1,789","1,538","1,588",346,641,987,601,551,137,234,371,180,528,102,12,114,414,388,101,12,113,275,140,1,1,139,543,320,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,859,514,281,0,795,64,512,310,155,0,465,47,347,204,126,330,17,119,71,44,115,4,138,125,0,125,13,113,100,0,100,13,25,25,25,0,124,114,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"9,426","2,863","2,895",20,"5,778","3,648","6,905","2,204","1,943",20,"4,167","2,738","2,521",659,952,"1,611",910,833,223,310,533,300,"2,266","1,108",18,"1,126","1,140","2,114","1,035",18,"1,053","1,061",152,73,73,79,"1,285",973,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,14,"34,052","10,055","7,302",144,"17,501","16,551","20,743","5,749","3,137",144,"9,030","11,713","13,309","4,306","4,165","8,471","4,838","4,511","1,531","1,359","2,890","1,621","6,650","2,056",124,"2,180","4,470","6,115","1,736",124,"1,860","4,255",535,320,320,215,"4,364","1,884","2,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,527","1,725","1,280",47,"3,052",475,"2,049","1,091",503,47,"1,641",408,"1,478",634,777,"1,411",67,445,193,233,426,19,443,253,46,299,144,331,194,46,240,91,112,59,59,53,330,297,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,19,"8,424","4,170","2,774",51,"6,995","1,429","5,084","2,811",937,51,"3,799","1,285","3,340","1,359","1,837","3,196",144,"1,094",444,602,"1,046",48,"1,646","1,011",31,"1,042",604,"1,531",938,31,969,562,115,73,73,42,881,727,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,484,32,74,0,106,378,438,20,40,0,60,378,46,12,34,46,0,16,6,10,16,0,193,2,0,2,191,193,2,0,2,191,0,0,0,0,33,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,160",562,369,6,937,223,653,278,199,6,483,170,507,284,170,454,53,172,89,64,153,19,228,147,6,153,75,190,122,6,128,62,38,25,25,13,109,93,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"20,504","6,053","8,919",55,"15,027","5,477","11,273","4,163","2,226",55,"6,444","4,829","9,231","1,890","6,693","8,583",648,"2,871",587,"2,089","2,676",195,"2,213","1,187",40,"1,227",986,"2,041","1,098",40,"1,138",903,172,89,89,83,"1,475","1,097",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"6,027","2,868","2,517",61,"5,446",581,"3,033","1,681",877,61,"2,619",414,"2,994","1,187","1,640","2,827",167,961,357,545,902,59,487,339,22,361,126,377,248,22,270,107,110,91,91,19,539,525,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,410","1,014",505,14,"1,533",877,"1,742",727,292,14,"1,033",709,668,287,213,500,168,243,97,68,165,78,410,206,9,215,195,346,163,9,172,174,64,43,43,21,268,219,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,"1,813",231,244,0,475,"1,338","1,302",172,120,0,292,"1,010",511,59,124,183,328,171,25,32,57,114,452,99,0,99,353,375,97,0,97,278,77,2,2,75,311,128,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,946","1,137",604,0,"1,741",205,"1,362",835,373,0,"1,208",154,584,302,231,533,51,196,105,77,182,14,184,138,0,138,46,166,124,0,124,42,18,14,14,4,210,188,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"4,689","1,555","1,660",31,"3,246","1,443","3,387","1,051","1,130",31,"2,212","1,175","1,302",504,530,"1,034",268,495,206,169,375,120,858,265,30,295,563,768,219,30,249,519,90,46,46,44,511,363,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6,"3,812","1,037",627,0,"1,664","2,148","3,174",651,526,0,"1,177","1,997",638,386,101,487,151,218,125,37,162,56,602,171,0,171,431,565,142,0,142,423,37,29,29,8,462,326,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"10,562","3,893","3,500",38,"7,431","3,131","6,510","2,458","1,166",38,"3,662","2,848","4,052","1,435","2,334","3,769",283,"1,291",426,784,"1,210",81,"1,188",482,38,520,668,"1,064",412,38,450,614,124,70,70,54,"1,222",901,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,40,"118,552","21,928","23,432",194,"45,554","72,998","93,458","14,520","11,712",194,"26,426","67,032","25,094","7,408","11,720","19,128","5,966","8,267","2,395","3,863","6,258","2,009","33,112","5,172",79,"5,251","27,861","29,248","4,098",79,"4,177","25,071","3,864","1,074","1,074","2,790","12,895","4,886","8,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"9,754","4,025","3,543",23,"7,591","2,163","4,664","2,335",717,23,"3,075","1,589","5,090","1,690","2,826","4,516",574,"1,444",440,844,"1,284",160,"1,780",823,23,846,934,"1,354",642,23,665,689,426,181,181,245,685,452,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,6,"4,448","2,390","1,139",0,"3,529",919,"3,101","1,632",643,0,"2,275",826,"1,347",758,496,"1,254",93,475,263,175,438,37,"1,046",678,0,678,368,872,542,0,542,330,174,136,136,38,341,267,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,865","4,010","2,343",0,"6,353",512,"3,696","2,459",725,0,"3,184",512,"3,169","1,551","1,618","3,169",0,983,464,519,983,0,"2,027","1,566",0,"1,566",461,"1,764","1,303",0,"1,303",461,263,263,263,0,499,435,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,946,516,410,10,936,10,575,353,202,10,565,10,371,163,208,371,0,119,53,66,119,0,71,61,7,68,3,65,55,7,62,3,6,6,6,0,89,86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"47,862","8,755","10,729",186,"19,670","28,192","31,359","5,853","6,291",186,"12,330","19,029","16,503","2,902","4,438","7,340","9,163","5,806",959,"1,461","2,420","3,386","9,647","1,720",153,"1,873","7,774","7,778","1,455",153,"1,608","6,170","1,869",265,265,"1,604","5,505","2,328","3,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,9,"16,971","4,824","3,686",0,"8,510","8,461","12,880","3,381","1,869",0,"5,250","7,630","4,091","1,443","1,817","3,260",831,"1,257",491,499,990,267,"3,082",936,0,936,"2,146","2,713",842,0,842,"1,871",369,94,94,275,"1,805",900,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,271",60,68,0,128,"1,143",296,11,24,0,35,261,975,49,44,93,882,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"6,335","1,226","2,494",25,"3,745","2,590","3,355",596,521,25,"1,142","2,213","2,980",630,"1,973","2,603",377,736,173,470,643,93,"1,180",252,21,273,907,"1,031",191,21,212,819,149,61,61,88,558,234,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,084","1,203","1,747",0,"2,950",134,"1,524",782,610,0,"1,392",132,"1,560",421,"1,137","1,558",2,495,140,354,494,1,327,258,0,258,69,277,208,0,208,69,50,50,50,0,229,220,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"1,781",745,659,0,"1,404",377,"1,084",490,285,0,775,309,697,255,374,629,68,211,73,119,192,19,271,165,0,165,106,193,105,0,105,88,78,60,60,18,208,162,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,20,"13,425","5,160","5,980",89,"11,229","2,196","7,958","3,934","2,081",89,"6,104","1,854","5,467","1,226","3,899","5,125",342,"1,730",405,"1,224","1,629",101,"1,574",939,41,980,594,"1,403",849,41,890,513,171,90,90,81,"1,267",882,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"6,096","3,087","2,285",24,"5,396",700,"3,751","2,021","1,122",24,"3,167",584,"2,345","1,066","1,163","2,229",116,739,328,377,705,34,580,385,24,409,171,511,319,24,343,168,69,66,66,3,743,666,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"2,693","1,329","1,044",9,"2,382",311,"1,480",787,442,9,"1,238",242,"1,213",542,602,"1,144",69,387,169,196,365,22,356,244,5,249,107,304,199,5,204,100,52,45,45,7,414,384,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"5,245","2,439","2,042",10,"4,491",754,"3,302","1,661","1,062",10,"2,733",569,"1,943",778,980,"1,758",185,672,255,359,614,58,541,266,2,268,273,394,217,2,219,175,147,49,49,98,607,510,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"5,226","1,389","2,228",34,"3,651","1,575","3,908","1,098","1,269",34,"2,401","1,507","1,318",291,959,"1,250",68,415,96,297,393,22,"1,115",236,9,245,870,"1,015",218,9,227,788,100,18,18,82,575,383,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,18,"19,029","13,962","4,158",59,"18,179",850,"6,694","3,362","2,462",59,"5,883",811,"12,335","10,600","1,696","12,296",39,"4,327","3,653",661,"4,314",13,"2,115","1,697",18,"1,715",400,"1,577","1,162",18,"1,180",397,538,535,535,3,"1,253","1,204",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"8,205","3,713","2,471",99,"6,283","1,922","5,221","2,338","1,280",99,"3,717","1,504","2,984","1,375","1,191","2,566",418,997,467,405,872,125,"1,480",793,69,862,618,"1,249",656,69,725,524,231,137,137,94,673,563,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2,"3,016","1,090","1,851",13,"2,954",62,"1,563",788,717,13,"1,518",45,"1,453",302,"1,134","1,436",17,494,105,382,487,7,176,170,6,176,0,159,153,6,159,0,17,17,17,0,164,150,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21,"11,527","4,927","4,368",44,"9,339","2,188","7,236","3,369","2,106",44,"5,519","1,717","4,291","1,558","2,262","3,820",471,"1,412",503,738,"1,241",171,"1,106",646,20,666,440,969,558,20,578,391,137,88,88,49,"1,100",945,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,10,"8,214","4,158","3,131",10,"7,299",915,"3,728","2,037",976,10,"3,023",705,"4,486","2,121","2,155","4,276",210,"1,338",586,687,"1,273",65,"1,350",991,10,"1,001",349,915,612,10,622,293,435,379,379,56,349,286,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"8,581","3,381","3,069",51,"6,501","2,080","4,652","1,835","1,479",51,"3,365","1,287","3,929","1,546","1,590","3,136",793,"1,259",496,518,"1,014",245,"1,037",559,42,601,436,695,352,42,394,301,342,207,207,135,843,667,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,403",501,582,0,"1,083","1,320","1,753",323,325,0,648,"1,105",650,178,257,435,215,192,43,91,134,58,475,68,0,68,407,408,61,0,61,347,67,7,7,60,210,129,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,878",706,388,0,"1,094",784,"1,211",410,164,0,574,637,667,296,224,520,147,207,89,76,165,42,227,65,0,65,162,210,55,0,55,155,17,10,10,7,309,118,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"12,168","5,281","3,732",0,"9,013","3,155","7,530","3,716","1,667",0,"5,383","2,147","4,638","1,565","2,065","3,630","1,008","1,520",519,650,"1,169",351,"1,842",802,0,802,"1,040","1,451",675,0,675,776,391,127,127,264,"1,123",934,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,"2,069",540,134,0,674,"1,395","1,230",370,73,0,443,787,839,170,61,231,608,244,62,21,83,161,179,68,0,68,111,110,68,0,68,42,69,0,0,69,241,60,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3,"3,145","1,532","1,440",0,"2,972",173,"1,892","1,041",692,0,"1,733",159,"1,253",491,748,"1,239",14,397,159,234,393,4,414,342,0,342,72,339,273,0,273,66,75,69,69,6,183,161,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,447",685,551,9,"1,245",202,798,450,167,9,626,172,649,235,384,619,30,229,76,143,219,10,255,129,6,135,120,226,112,6,118,108,29,17,17,12,125,112,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,17,"12,002","7,224","3,360",19,"10,603","1,399","6,093","3,748","1,149",19,"4,916","1,177","5,909","3,476","2,211","5,687",222,"1,994","1,189",728,"1,917",77,"1,237",839,8,847,390,"1,002",630,8,638,364,235,209,209,26,540,420,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"2,819","1,495",896,0,"2,391",428,"1,786","1,098",313,0,"1,411",375,"1,033",397,583,980,53,323,123,181,304,19,525,306,0,306,219,399,240,0,240,159,126,66,66,60,243,183,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"7,039","2,496","1,182",20,"3,698","3,341","6,200","2,015",864,20,"2,899","3,301",839,481,318,799,40,316,195,109,304,12,724,376,1,377,347,718,374,1,375,343,6,2,2,4,790,477,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,30,"77,430","61,742","11,375",156,"73,273","4,157","31,235","20,728","6,330",156,"27,214","4,021","46,195","41,014","5,045","46,059",136,"13,675","11,961","1,686","13,647",28,"6,317","3,733",152,"3,885","2,432","4,045","1,521",152,"1,673","2,372","2,272","2,212","2,212",60,"4,659","4,201",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"12,325","6,336","4,555",96,"10,987","1,338","7,611","4,196","2,180",96,"6,472","1,139","4,714","2,140","2,375","4,515",199,"1,501",672,776,"1,448",53,"1,753","1,141",66,"1,207",546,"1,677","1,069",66,"1,135",542,76,72,72,4,"1,212","1,050",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"4,408","2,301",915,46,"3,262","1,146","3,179","1,764",510,46,"2,320",859,"1,229",537,405,942,287,426,179,134,313,113,719,309,21,330,389,617,239,21,260,357,102,70,70,32,437,338,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,7,"13,822","2,800","3,619",13,"6,432","7,390","8,994","1,983","1,606",13,"3,602","5,392","4,828",817,"2,013","2,830","1,998","1,524",276,629,905,619,"3,043",712,11,723,"2,320","2,444",577,11,588,"1,856",599,135,135,464,"1,494",709,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,18,"15,086","6,943","6,555",229,"13,727","1,359","7,973","4,207","2,331",229,"6,767","1,206","7,113","2,736","4,224","6,960",153,"2,409",929,"1,432","2,361",48,"1,681",828,182,"1,010",671,"1,536",707,182,889,647,145,121,121,24,"1,462","1,290",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"4,128",339,995,68,"1,402","2,726","3,470",300,689,68,"1,057","2,413",658,39,306,345,313,185,16,91,107,78,"2,130",195,66,261,"1,869","1,629",190,66,256,"1,373",501,5,5,496,82,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,384",850,400,17,"1,267",117,862,564,172,17,753,109,522,286,228,514,8,177,96,79,175,2,251,182,16,198,53,243,174,16,190,53,8,8,8,0,97,95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,4,"6,544","1,677","1,722",12,"3,411","3,133","4,736","1,300","1,027",12,"2,339","2,397","1,808",377,695,"1,072",736,640,136,229,365,275,483,131,12,143,340,453,113,12,125,328,30,18,18,12,636,345,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
